Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name
ELEC,British Columbia Institute of Technology - Downtown Campus,545 Seymour St,,Vancouver,BC,V6B 3H6,,604-451-6875,E,,Public,6am- 10pm daily; parking fee required,,,,,,2,,,Non-Networked,,200-8,49.283447,-123.114722,2019-11-08,84137,2021-06-07 17:08:43 UTC,P,,,2013-12-01,,,,,J1772,CA,,6:00-22:00 tous les jours; frais de stationnement requis,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,Gratuit,,,,,,,,HYDRO,FALSE,,,,,
ELEC,Regional District Of Mount Waddington - Woss EV Charging Station,3009 Englewood Dr,Off Hwy 19 on Englewood Drive. On water pump house building just down from the gas station.,Woss,BC,V0N 2R0,,250-956-3301,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,50.213905,-126.595277,2023-03-08,84138,2023-03-08 17:16:33 UTC,LG,,,2013-03-15,,,,,J1772,CA,À la sortie de l'Autoroute 19 sur la promenade Englewood. Sur la maison de la pompe à eau en face de la station d'essence.,24 heures par jour,,Public,,public,,,GAS_STATION,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Brodeur's Bistro,3550 Mt Lehman Rd,,Abbotsford,BC,V4X 2M9,,604-746-5900,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,49.06620984,-122.3804885,2022-07-08,84141,2022-07-08 16:02:07 UTC,P,,,2016-09-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,RESTAURANT,,,,,,,,,,,,,,,,,FALSE,,,,,
ELEC,Meadow Park Sports Centre,8625 Highway 99,,Whistler,BC,V0N 1B8,,604-935-7529,E,,Public,24 hours daily; 3 hours maximum,,,,,,4,,,Non-Networked,,200-8,50.146456,-122.959947,2021-08-03,84142,2022-04-26 16:04:15 UTC,P,,,2015-05-06,,,,,J1772,CA,,24 heures par jour; maximum de 3 heures,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Brooks Landing Mall,2000 Island Hwy N,,Nanaimo,BC,V9S 5W3,,604-468-7214,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,49.19094,-123.968111,2022-08-09,84143,2022-08-09 21:18:29 UTC,P,,,2017-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,BC Hydro - Trail Bay Mall,5755 Cowrie St,,Sechelt,BC,V0N 3A0,,604-740-8469,E,,Public,24 hours daily,,,,,,,2,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,GPS,49.4721921,-123.7619572,2021-12-13,84159,2022-07-26 14:30:40 UTC,P,,,2015-06-01,,,,,CHADEMO J1772COMBO,CA,,24 heures par jour,,Public,,public,,,PARKING_LOT,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Westbank United Church,3678 Brown Rd,,Central Okanagan,BC,V4T 1Z1,,855-900-7584,E,,Public,24 hours daily,,,,,,,2,,SHELL_RECHARGE,https://shellrecharge.com/en-us/solutions,200-9,49.830239,-119.628203,2020-04-10,84164,2021-06-07 17:08:43 UTC,P,,,2016-03-01,,,,,CHADEMO J1772COMBO,CA,,Accessible 24 heures par jour,,Public,,public,,,PLACE_OF_WORSHIP,,,,,,,$0.35 per kWh,$ 0.35 per kWh,,,,,,,,,FALSE,,,,,
ELEC,Kelowna Infiniti Nissan,2741 Highway 97 N,,Kelowna,BC,V1X 4J8,,250-712-0404,E,,Public - Call ahead,Dealership business hours; for client use only; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,1,,,Non-Networked,,200-9,49.889576,-119.428027,2022-07-08,84182,2022-07-08 16:02:07 UTC,P,,,2013-03-15,,,,,J1772 NEMA520,CA,,Heures d'ouverture du concessionnaire; Ã  l'usage des clients seulement,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,TRUE,,,,,
ELEC,Kelowna Chevrolet,2350 Highway 97 N,,Kelowna,BC,V1Y 6G8,,250-860-6000,E,,Public,9am-7pm M-Sat,,,,,,4,,,Non-Networked,,GPS,49.88404439,-119.4312586,2022-07-08,84184,2022-07-08 16:02:07 UTC,P,,,2017-03-01,,,,,J1772,CA,,9:00-19:00 LUN-SAM,,Public,,public,,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Concord Pacific's False Creek Seawall,88 Pacific Blvd,,Vancouver,BC,V6Z 2R6,,604-899-8800,E,,Public,10am-5pm daily; for client use only,,,,,,1,,,Non-Networked,,,49.2767368,-123.1070423,2018-01-03,84189,2022-04-28 20:01:31 UTC,P,,,2017-03-30,,,,,J1772,CA,,10:00-17:00 tous les jours; Ã  l'usage des clients seulement,,Public,,public,,,OTHER_ENTERTAINMENT,,,,,,,Free,Gratuit,,,,,,,,,TRUE,,,,,
ELEC,West Coast Railway Heritage Park,39645 Government Rd,,Squamish,BC,V5C 2K3,,604-898-9336,E,,Public,10am-5pm daily; open from March to June,,,,,,1,,,Non-Networked,,200-9,49.728645,-123.159901,2020-03-05,84192,2021-06-07 17:08:43 UTC,P,,,2018-03-31,,,,,J1772,CA,,10:00-17:00 tous les jours; ouvert en Mars jusqu'en Juin,,Public,,public,,,PARK,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,District Office Parking Lot,9904 Dudley Dr,,Hudson's Hope,BC,V0C 1V0,,250-783-9901,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,56.02604395,-121.9144369,2022-07-08,84197,2022-07-08 16:02:07 UTC,LG,,,2013-05-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Town of Hope,325 Wallace St,In a dedicated street parking stall opposite The Blue Moose Cafe,Hope,BC,V0X 1L0,,604-860-0930,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,49.37986856,-121.4414873,2019-07-10,84198,2021-06-07 17:08:43 UTC,LG,,,2014-03-15,,,,,J1772,CA,"Stationnement reservée dans la rue, près du café Blue Moose",Accessible 24 heures par jour,,Public,,public,,,STREET_PARKING,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,District of Invermere Municipal Office,914 8th Ave,Located on the east wall of the Municipal Building facing 8th avenue north,Invermere,BC,V0A 1K0,,250-342-9281,E,,Public,24 hours daily,A Cash D Debit M V,,,,,1,,,Non-Networked,,200-9,50.505845,-116.030617,2022-07-08,84200,2022-07-08 16:02:07 UTC,LG,,,2020-08-28,,,,,J1772,CA,"Située sur le mur est du bâtiment municipal, orientée vers 8th avenue Nord",Accessible 24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,"$3 per hour first 4 hours, $6 per hour for any additional hours","$3 de l'heure pour les 4 premieres heures, $6 de l'heure pour les heures suplementaires",,,,,,,,,FALSE,,,,,
ELEC,Dockside Realty,4301 Bedwell Harbour Rd,,Pender Island,BC,V0N 2M1,,866-629-3166,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,48.803219,-123.276478,2020-09-03,84201,2022-04-07 19:22:13 UTC,P,,,2014-05-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Artspring,100 Jackson Ave,,Salt Spring Island,BC,V8K 2V8,,250-537-2102,E,,Public,"24 hours daily, donation box available",,,,,,2,,,Non-Networked,,GPS,48.85238444,-123.5029527,2020-03-05,84204,2021-06-07 17:08:43 UTC,P,,,2013-09-15,,,,,J1772,CA,,"Accessible 24 heures par jour, (il y a une boite de don)",,Public,,public,,,OTHER_ENTERTAINMENT,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,University Village Shopping Centre,530 5th St,,Nanaimo,BC,V9R 1P2,,250-754-4471  250-714-2729,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-8,49.155138,-123.95132,2021-09-09,84207,2022-07-27 18:49:10 UTC,P,,,2013-06-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Egmont Heritage Centre,6671 Egmont Rd,,Egmont,BC,V0N 1N0,,604-883-9994,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,49.75066879,-123.9357207,2022-07-08,84209,2022-07-08 16:02:07 UTC,P,,,2013-03-20,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Ethical Bean Coffee,1315 Kootenay St,,Vancouver,BC,V5K 4Y3,,604-431-3830,E,,Public,8am-6pm M-F; for customers only,,,,,,2,,,Non-Networked,,200-8,49.272879,-123.027636,2022-09-14,84211,2022-09-14 16:01:54 UTC,P,,,2014-03-15,,,,,J1772,CA,,8:00-18:00 LUN-VEN; suels les clients,,Public,,public,,,RESTAURANT,,,,,,,Free,Gratuit,,,,,,,,,TRUE,,,,,
ELEC,Huber Bannister Chevrolet,933 Westminster Ave W,,Penticton,BC,V2A 1L1,,250-493-2333,E,,Public - Call ahead,"8am-5pm M-F, 8am-4pm Sat",,,,,,1,1,,Non-Networked,,200-9,49.497712,-119.60592,2022-08-09,84225,2022-08-09 21:18:29 UTC,P,,,2011-06-15,,,,,J1772 J1772COMBO,CA,,"8:00-17:00 LUN-VEN, 8:00-16:00 SAM",,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,The District of Central Saanich,1903 Mt Newton Cross Rd,,Saanichton,BC,V8M 2A9,,250-544-4219  250-652-4444,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,48.594755,-123.421119,2020-03-05,84235,2021-06-07 17:08:43 UTC,LG,,,2015-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Fernwood Road Cafe,325 Fernwood Rd,,Salt Spring Island,BC,V8K 1C3,,250-931-2233,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,48.914857,-123.533169,2022-08-09,84236,2022-08-09 21:18:29 UTC,P,,,2016-08-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,RESTAURANT,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,The Bay Centre Parking Lot,1150 Douglas St,,Victoria,BC,V8W 3M9,,250-382-4411,E,,Public,"5:30am-10pm M-F, 6am-8pm Sat, 7am-7pm Sun; 2 hours maximum",,,,,,4,,,Non-Networked,,200-9,48.425067,-123.365639,2021-08-03,84237,2022-04-26 16:04:15 UTC,P,,,2015-05-25,,,,,J1772,CA,,"5:30-22:00 LUN-VEN, 6:00-20:00 Sam, 7:00-19:00 DIM; 2 heures maximum",,Public,,public,,,PAY_GARAGE,,,,,,,"Charging free, parking fee required","Recharge gratuite, frais de stationnement requis",,,,,,,,,FALSE,,,,,
ELEC,The Rental Stop,327 Rainbow Rd,,Salt Spring Island,BC,V8K 2M4,,866-538-0388,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,48.853388,-123.516088,2022-02-10,84242,2023-03-08 21:28:49 UTC,P,,,2016-10-15,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,St. Regis Hotel,602 Dunsmuir St,Located in underground parking lot,Vancouver,BC,V6B 1Y6,,,E,,Public,24 hours daily; for guest use only; see front desk for access,,,,,,2,,,Non-Networked,,200-9,49.28297,-123.115965,2022-04-13,84257,2022-04-26 16:04:15 UTC,P,,,2011-03-15,,,,,J1772,CA,Située dans le stationnement sous-terrain,24 heures par jour; Ã  l'usage des clients seulement; rendez-vous Ã  la rÃ©ception pour avoir accÃ¨s,,Public,,public,,,HOTEL,,,,,,,Free; parking fee required,Gratuit; frais de stationnement requis,,,,,,,,,TRUE,,,,,
ELEC,Town of Sidney - Town Hall,2440 Sidney Ave,,Sidney,BC,V8L 1Y7,,250-656-1184,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,48.650394,-123.398404,2020-04-10,84262,2021-06-07 17:08:43 UTC,LG,,,2015-05-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,District of Sicamous,446 Main St,Enter via Finlayson St,Sicamous,BC,V0E 2V0,,250-836-2477,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,50.836732,-118.98273,2022-02-10,84264,2022-04-26 16:04:15 UTC,P,,,2018-05-24,,,,,J1772,CA,Entrez via Finlayson St,24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Shangri-La Hotel,1128 W Georgia St,,Vancouver,BC,V6E 0A8,,604-689-1120,E,,Public - Call ahead,24 hours daily; parking fee required for non-guests,A Cash D Debit M V,,,,,1,,,Non-Networked,,200-9,49.285762,-123.123947,2021-08-03,84266,2022-04-26 16:04:15 UTC,P,,,2015-02-01,,,,,J1772,CA,,24 heures par jour; frais de stationnement requis pour les non-clients,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Sayward Valley Resort,1546 Sayward Rd,,Sayward,BC,V0P 1R0,,250-282-3204,E,,Public,9am-8pm daily,Cash Debit M V,,,,,1,,,Non-Networked,,200-9,50.315542,-125.919635,2022-04-13,84268,2022-04-26 16:04:15 UTC,P,,,2015-03-15,,,,,J1772,CA,,9:00-20:00 tous les jours,,Public,,public,,,HOTEL,,,,,,,$5 per session,$5 par session,,,,,,,,,FALSE,,,,,
ELEC,Town of Sidney - Third Street Parking Lot,9751 Third St,,Sidney,BC,V8L 3A5,,250-656-1184,E,,Public,Lot business hours,,,,,,1,,,Non-Networked,,200-9,48.647902,-123.397546,2020-04-10,84270,2021-06-07 17:08:43 UTC,LG,,,2015-05-15,,,,,J1772,CA,,Heures d'ouverture du stationnement,,Public,,public,,,PARKING_LOT,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Greater Victoria Public Library,1209 Clarke Rd,,Brentwood Bay,BC,V8M 1P8,,250-652-4444,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,48.575792,-123.448599,2019-10-10,84272,2021-06-07 17:08:43 UTC,P,,,2012-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,LIBRARY,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Kaatza Station Museum,125 S Shore Rd,,Lake Cowichan,BC,V0R 2G0,,250-749-6681,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,48.82300413,-124.0581083,2022-07-08,84335,2022-07-08 16:02:07 UTC,P,,,2013-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,MUSEUM,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Lake City Centre,3292 Production Way,,Burnaby,BC,V5A 4R4,,604-420-6322,E,,Public,6:30am-6pm M-F,,,,,,2,,,Non-Networked,,200-9,49.253827,-122.918052,2018-06-11,84339,2021-06-07 17:08:43 UTC,P,,,2018-05-23,,,,,J1772,CA,,6:30-18:00 LUN-VEN,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Madrona Marketplace West,"480, 490, and 500-510 North Rd",,Gabriola,BC,V0R 1X0,,250-739-0330,E,,Public,24 hours daily,,,,,,3,,,Non-Networked,,200-9,49.174308,-123.849994,2022-07-08,84361,2022-07-08 16:02:07 UTC,P,,,2015-03-23,,,,,J1772,CA,,24 heures par jour,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Long Beach Lodge Resort,1441 Pacific Rim Hwy,,Tofino,BC,V0R 2Z0,,250-725-2442,E,,Public,24 hours daily; Guest use prioritized,,,,,,2,,,Non-Networked,,200-9,49.104783,-125.869648,2022-09-14,84370,2022-09-14 16:01:54 UTC,P,,,2013-03-23,,,,,J1772,CA,,24 heures par jour; Utilisation par les clients prioritairet,,Public,,public,,,HOTEL,,,,,,,Free for guests,Gratuit pour les clients,,,,,,,,,FALSE,,,,,
ELEC,Mott Electric,4599 Tillicum St,,Burnaby,BC,V5J 3J9,,604-522-5757,E,,Public,7:30am-5pm M-F,,,,,,6,,,Non-Networked,,200-9,49.189319,-122.990965,2022-07-08,84371,2022-07-08 16:02:07 UTC,P,,,2013-03-23,,,,,J1772,CA,,7:30-17:00 LUN-VEN,,Public,,public,,,UTILITY,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
ELEC,Nar Park Art Gallery,816 Alaska Ave,Located in the NAR parking lot next to the traffic circle,Dawson Creek,BC,V1G 4T6,,250-784-3600,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,55.759366,-120.226434,2022-07-08,84373,2022-07-08 16:02:07 UTC,LG,,,2013-01-01,,,,,J1772,CA,"Situee dans le stationnement de NAR, a cote du carrefour giratoire",24 heures par jour,,Public,,public,,,MUSEUM,,,,,,,Free,Gratuit,,,,,,,,,FALSE,,,,,
